property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,within an hour,100%,t,5.0,7.0,37.80289,-122.41986,t,15,23,23,83,14,1,0,4.86,4.69,4.92,4.85,0.1,143.0,1.0,0.5,0.5,0.0003533568904593,4005.0,-117.0,0.0983192080250173,282,432,19
Entire vacation home,Entire home/apt,5,1.0,1.0,3.0,within a few hours,100%,,16.0,24.0,45.45137,9.14925,t,23,43,64,229,12,4,1,4.92,4.92,4.75,4.75,0.56,71.0,15.0,0.1666666666666666,0.1666666666666666,0.0040875912408759,2510.0,-426.0,0.0981495457622363,136,536,49
Entire rental unit,Entire home/apt,8,2.0,2.0,4.0,within an hour,100%,f,2.0,2.0,25.9874119,-80.119025,t,24,37,61,135,0,0,0,,,,,,500.0,32.0,0.2222222222222222,0.2222222222222222,,2515.0,,,230,430,18
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,,6.0,9.0,38.70343,-9.39813,t,29,59,89,364,56,17,0,4.89,4.96,4.88,4.7,1.28,126.0,2.0,0.3333333333333333,0.3333333333333333,0.64,2902.0,-269.0,0.1108677891304171,1,499,46
Entire serviced apartment,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,t,1.0,2.0,51.4656,-2.61748,t,15,32,51,132,408,79,5,4.95,4.94,4.95,4.88,6.89,94.0,2.0,0.0,0.3333333333333333,0.0294444444444444,1420.0,-351.0,0.033665016461207,233,217,34
Entire condo,Entire home/apt,7,1.0,3.0,4.0,within an hour,100%,t,4.0,6.0,35.95813,14.36936,t,12,12,36,231,38,14,1,4.92,4.95,4.89,4.92,0.36,125.0,28.0,0.375,0.125,0.0026666666666666,3177.0,-334.0,0.0244948974278319,134,219,52
Entire rental unit,Entire home/apt,4,2.0,3.0,3.0,within a few hours,100%,t,9.0,17.0,29.9626674,-90.0774187,t,30,60,90,269,1,0,0,5.0,5.0,5.0,5.0,0.08,150.0,12.0,0.6,0.4,0.0008247422680412,2747.0,-61.0,0.0,96,147,53
Entire home,Entire home/apt,2,1.0,1.0,1.0,within a day,90%,f,7.0,8.0,36.9567154028696,-121.97606677683662,t,4,4,13,120,2,2,0,5.0,5.0,5.0,5.0,0.65,133.0,2.0,0.3333333333333333,0.3333333333333333,0.0026422764227642,868.0,-334.0,0.0,245,519,18
Entire villa,Entire home/apt,8,3.0,3.0,8.0,within an hour,100%,f,1.0,1.0,39.54209,2.44396,t,29,58,86,262,1,1,0,5.0,5.0,5.0,5.0,0.13,465.0,64.0,0.3333333333333333,0.3333333333333333,0.00125,-165.0,-203.0,0.0,103,304,47
Entire loft,Entire home/apt,3,1.0,1.0,1.0,within an hour,99%,t,31.0,38.0,34.008562447632634,-118.23003989357964,t,29,59,89,269,11,7,0,5.0,4.91,4.55,5.0,0.6,173.0,3.0,0.25,0.25,0.0061855670103092,535.0,-231.0,0.2142428528562856,96,498,55
Room in hotel,Private room,4,1.0,1.0,2.0,,,f,5.0,5.0,40.43898,18.18619,,0,0,0,207,0,0,0,,,,,,376.0,8.0,0.2,0.2,,924.0,,,158,0,6
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,,,f,1.0,1.0,37.49677,13.1568,t,28,58,88,363,5,0,0,4.6,4.4,4.8,4.2,0.08,50.0,18.0,0.2857142857142857,0.1428571428571428,0.0266666666666666,2693.0,120.0,0.2581988897471609,2,210,12
Entire villa,Entire home/apt,12,5.5,5.0,7.0,within an hour,100%,f,145.0,297.0,39.74397,3.13418,t,14,21,21,103,7,3,0,4.86,5.0,4.71,4.86,0.09,648.0,84.0,0.3846153846153846,0.4230769230769231,0.0003422053231939,2742.0,-285.0,0.1184271928232701,262,167,37
Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,within an hour,100%,t,1.0,1.0,45.44904,9.20579,t,0,0,0,31,27,2,0,4.89,4.63,4.96,4.74,0.25,33.0,1.0,0.0,0.5,0.0007462686567164,2885.0,-274.0,0.1484362938547487,334,310,18
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,t,4.0,4.0,49.89839,-97.08139,t,29,59,89,364,6,2,0,4.17,4.83,4.67,4.33,0.27,64.0,2.0,0.3333333333333333,0.3333333333333333,0.135,2305.0,-118.0,0.3030951445778482,1,87,18
Private room in home,Private room,2,3.0,1.0,1.0,within an hour,100%,f,1.0,1.0,-37.75179063368896,144.81610384616303,t,12,34,64,339,5,5,5,4.2,3.8,4.2,4.2,5.0,59.0,2.0,0.3333333333333333,1.0,0.1851851851851851,2043.0,-420.0,0.2000000000000001,26,366,8
Entire home,Entire home/apt,4,1.0,3.0,4.0,,,f,1.0,1.0,37.852943,15.294753,t,27,54,71,289,19,6,0,4.95,5.0,4.95,4.95,0.61,220.0,16.0,0.6,0.2,0.0079220779220779,800.0,-243.0,0.0249999999999999,76,376,58
Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,within an hour,100%,t,5.0,5.0,40.85363,14.26725,t,1,1,1,1,82,28,1,4.72,4.9,4.27,4.63,1.93,70.0,6.0,0.25,0.25,0.0052876712328767,878.0,-420.0,0.2649528259898357,364,513,29
Private room in rental unit,Private room,3,1.0,1.0,2.0,,,f,3.0,4.0,45.69498,9.66363,t,2,2,2,2,42,0,0,5.0,4.95,4.93,4.88,0.47,86.0,6.0,0.25,0.25,0.0012912087912087,3506.0,90.0,0.0496655480858378,363,73,21
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,5.0,5.0,-42.15114,145.33436,t,1,7,22,200,20,12,2,4.85,4.9,4.95,4.8,1.18,220.0,2.0,0.3333333333333333,0.3333333333333333,0.0071084337349397,2438.0,-415.0,0.0645497224367905,165,295,29
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,,3.0,5.0,38.71351,-9.16162,t,1,1,1,1,52,10,0,4.71,4.79,4.83,4.6,1.44,126.0,12.0,0.2,0.2,0.003945205479452,3526.0,-368.0,0.1014478519568882,364,390,19
Entire villa,Entire home/apt,9,1.5,3.0,5.0,within an hour,100%,t,60.0,96.0,35.3159,25.38666,t,27,57,87,259,3,0,0,4.67,4.33,4.33,4.67,0.1,360.0,45.0,0.3,0.15,0.0009345794392523,1811.0,170.0,0.1962990915244726,106,332,38
Entire guest suite,Entire home/apt,3,1.0,1.0,2.0,within a few hours,90%,f,1.0,1.0,19.3527171,-99.1939505,t,5,7,33,213,7,7,1,5.0,5.0,5.0,5.0,2.41,870.0,6.0,0.25,0.25,0.0157516339869281,2909.0,-349.0,0.0,152,495,52
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,-34.97212,117.30911,t,7,25,38,127,84,27,1,4.95,4.98,4.96,4.7,2.6,469.0,2.0,0.3333333333333333,0.3333333333333333,0.0108786610878661,2955.0,-335.0,0.1322560647632715,238,500,50
Entire villa,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,t,2.0,2.0,37.00531,15.32188,t,17,43,51,261,156,27,0,4.91,4.94,4.81,4.85,1.51,139.0,12.0,0.4,0.2,0.0143809523809523,4560.0,-327.0,0.0585234995535985,104,225,74
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,t,2.0,2.0,39.83858,3.12419,t,7,25,45,144,105,24,1,4.85,4.9,4.97,4.74,0.9,100.0,8.0,0.4,0.2,0.004054054054054,3746.0,-428.0,0.0967815409397197,221,206,62
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,t,35.0,35.0,51.508426738756334,-0.340433945269202,t,21,51,81,356,0,0,0,,,,,,65.0,2.0,0.3333333333333333,0.3333333333333333,,222.0,,,9,510,18
