room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_accommodates,accommodates_per_bedroom,reviews_per_month_per_review,availability_ratio_30_365,host_listing_concentration,review_scores_mean,description_char_len,description_word_count,amenities_item_count,property_type_char_len,host_tenure_days,days_since_first_review,days_since_last_review
Entire home/apt,1,1.0,1.0,1.0,within an hour,t,5.0,7.0,37.80289,-122.41986,t,15,23,23,83,14,1,0,4.86,4.69,4.92,4.85,0.1,143.0,1.0,1.0,0.0071428571428571,0.180722891566265,0.7142857142857143,4.83,432,79,19,18,4005.0,3805.0,-117.0
Entire home/apt,5,1.0,1.0,3.0,within a few hours,,16.0,24.0,45.45137,9.14925,t,23,43,64,229,12,4,1,4.92,4.92,4.75,4.75,0.56,71.0,0.6,5.0,0.0466666666666666,0.1004366812227074,0.6666666666666666,4.835,536,90,49,20,2510.0,209.0,-426.0
Entire home/apt,8,2.0,2.0,4.0,within an hour,f,2.0,2.0,25.9874119,-80.119025,t,24,37,61,135,0,0,0,,,,,,500.0,0.5,4.0,,0.1777777777777777,1.0,,430,65,18,18,2515.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,,6.0,9.0,38.70343,-9.39813,t,29,59,89,364,56,17,0,4.89,4.96,4.88,4.7,1.28,126.0,0.5,2.0,0.0228571428571428,0.0796703296703296,0.6666666666666666,4.8575,499,79,46,18,2902.0,867.0,-269.0
Entire home/apt,2,1.0,0.0,1.0,within an hour,t,1.0,2.0,51.4656,-2.61748,t,15,32,51,132,408,79,5,4.95,4.94,4.95,4.88,6.89,94.0,0.5,,0.0168872549019607,0.1136363636363636,0.5,4.93,217,38,34,25,1420.0,1416.0,-351.0
Entire home/apt,7,1.0,3.0,4.0,within an hour,t,4.0,6.0,35.95813,14.36936,t,12,12,36,231,38,14,1,4.92,4.95,4.89,4.92,0.36,125.0,0.5714285714285714,2.3333333333333335,0.0094736842105263,0.0519480519480519,0.6666666666666666,4.92,219,37,52,12,3177.0,2820.0,-334.0
Entire home/apt,4,2.0,3.0,3.0,within a few hours,t,9.0,17.0,29.9626674,-90.0774187,t,30,60,90,269,1,0,0,5.0,5.0,5.0,5.0,0.08,150.0,0.75,1.3333333333333333,0.08,0.1115241635687732,0.5294117647058824,5.0,147,25,53,18,2747.0,-61.0,-61.0
Entire home/apt,2,1.0,1.0,1.0,within a day,f,7.0,8.0,36.9567154028696,-121.97606677683662,t,4,4,13,120,2,2,0,5.0,5.0,5.0,5.0,0.65,133.0,0.5,2.0,0.325,0.0333333333333333,0.875,5.0,519,89,18,11,868.0,-273.0,-334.0
Entire home/apt,8,3.0,3.0,8.0,within an hour,f,1.0,1.0,39.54209,2.44396,t,29,58,86,262,1,1,0,5.0,5.0,5.0,5.0,0.13,465.0,1.0,2.6666666666666665,0.13,0.1106870229007633,1.0,5.0,304,53,47,12,-165.0,-203.0,-203.0
Entire home/apt,3,1.0,1.0,1.0,within an hour,t,31.0,38.0,34.008562447632634,-118.23003989357964,t,29,59,89,269,11,7,0,5.0,4.91,4.55,5.0,0.6,173.0,0.3333333333333333,3.0,0.0545454545454545,0.1078066914498141,0.8157894736842105,4.865,498,81,55,11,535.0,125.0,-231.0
Private room,4,1.0,1.0,2.0,,f,5.0,5.0,40.43898,18.18619,,0,0,0,207,0,0,0,,,,,,376.0,0.5,4.0,,0.0,1.0,,0,0,6,13,924.0,,
Entire home/apt,6,1.0,2.0,3.0,,f,1.0,1.0,37.49677,13.1568,t,28,58,88,363,5,0,0,4.6,4.4,4.8,4.2,0.08,50.0,0.5,3.0,0.016,0.0771349862258953,1.0,4.5,210,37,12,18,2693.0,1617.0,120.0
Entire home/apt,12,5.5,5.0,7.0,within an hour,f,145.0,297.0,39.74397,3.13418,t,14,21,21,103,7,3,0,4.86,5.0,4.71,4.86,0.09,648.0,0.5833333333333334,2.4,0.0128571428571428,0.1359223300970873,0.4882154882154882,4.8575,167,27,37,12,2742.0,1895.0,-285.0
Entire home/apt,1,1.0,0.0,1.0,within an hour,t,1.0,1.0,45.44904,9.20579,t,0,0,0,31,27,2,0,4.89,4.63,4.96,4.74,0.25,33.0,1.0,,0.0092592592592592,0.0,1.0,4.805,310,42,18,18,2885.0,2767.0,-274.0
Private room,2,1.0,1.0,1.0,within an hour,t,4.0,4.0,49.89839,-97.08139,t,29,59,89,364,6,2,0,4.17,4.83,4.67,4.33,0.27,64.0,0.5,2.0,0.045,0.0796703296703296,1.0,4.5,87,14,18,20,2305.0,245.0,-118.0
Private room,2,3.0,1.0,1.0,within an hour,f,1.0,1.0,-37.75179063368896,144.81610384616303,t,12,34,64,339,5,5,5,4.2,3.8,4.2,4.2,5.0,59.0,0.5,2.0,1.0,0.0353982300884955,1.0,4.1,366,61,8,20,2043.0,-399.0,-420.0
Entire home/apt,4,1.0,3.0,4.0,,f,1.0,1.0,37.852943,15.294753,t,27,54,71,289,19,6,0,4.95,5.0,4.95,4.95,0.61,220.0,1.0,1.3333333333333333,0.0321052631578947,0.0934256055363321,1.0,4.9624999999999995,376,66,58,11,800.0,576.0,-243.0
Private room,3,1.0,1.0,2.0,within an hour,t,5.0,5.0,40.85363,14.26725,t,1,1,1,1,82,28,1,4.72,4.9,4.27,4.63,1.93,70.0,0.6666666666666666,3.0,0.0235365853658536,1.0,1.0,4.63,513,86,29,33,878.0,833.0,-420.0
Private room,3,1.0,1.0,2.0,,f,3.0,4.0,45.69498,9.66363,t,2,2,2,2,42,0,0,5.0,4.95,4.93,4.88,0.47,86.0,0.6666666666666666,3.0,0.0111904761904761,1.0,0.75,4.9399999999999995,73,10,21,27,3506.0,2331.0,90.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,5.0,5.0,-42.15114,145.33436,t,1,7,22,200,20,12,2,4.85,4.9,4.95,4.8,1.18,220.0,0.5,2.0,0.059,0.005,1.0,4.875,295,55,29,18,2438.0,82.0,-415.0
Entire home/apt,4,1.0,1.0,3.0,within an hour,,3.0,5.0,38.71351,-9.16162,t,1,1,1,1,52,10,0,4.71,4.79,4.83,4.6,1.44,126.0,0.75,4.0,0.0276923076923076,1.0,0.6,4.7325,390,78,19,18,3526.0,652.0,-368.0
Entire home/apt,9,1.5,3.0,5.0,within an hour,t,60.0,96.0,35.3159,25.38666,t,27,57,87,259,3,0,0,4.67,4.33,4.33,4.67,0.1,360.0,0.5555555555555556,3.0,0.0333333333333333,0.1042471042471042,0.625,4.5,332,58,38,12,1811.0,536.0,170.0
Entire home/apt,3,1.0,1.0,2.0,within a few hours,f,1.0,1.0,19.3527171,-99.1939505,t,5,7,33,213,7,7,1,5.0,5.0,5.0,5.0,2.41,870.0,0.6666666666666666,3.0,0.3442857142857143,0.0234741784037558,1.0,5.0,495,74,52,18,2909.0,-275.0,-349.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,1.0,1.0,-34.97212,117.30911,t,7,25,38,127,84,27,1,4.95,4.98,4.96,4.7,2.6,469.0,0.5,2.0,0.0309523809523809,0.0551181102362204,1.0,4.8975,500,77,50,20,2955.0,611.0,-335.0
Entire home/apt,4,1.0,2.0,3.0,within an hour,t,2.0,2.0,37.00531,15.32188,t,17,43,51,261,156,27,0,4.91,4.94,4.81,4.85,1.51,139.0,0.75,2.0,0.0096794871794871,0.0651340996168582,1.0,4.8774999999999995,225,36,74,12,4560.0,2732.0,-327.0
Entire home/apt,4,1.0,2.0,2.0,within an hour,t,2.0,2.0,39.83858,3.12419,t,7,25,45,144,105,24,1,4.85,4.9,4.97,4.74,0.9,100.0,0.5,2.0,0.0085714285714285,0.0486111111111111,1.0,4.865,206,28,62,18,3746.0,3085.0,-428.0
Private room,2,1.0,1.0,1.0,within an hour,t,35.0,35.0,51.508426738756334,-0.340433945269202,t,21,51,81,356,0,0,0,,,,,,65.0,0.5,2.0,,0.0589887640449438,1.0,,510,83,18,20,222.0,,
Entire home/apt,4,1.0,1.0,3.0,within an hour,f,449.0,961.0,38.0815791,12.6869024,t,30,60,90,365,2,1,0,4.5,5.0,4.5,4.5,0.07,47.0,0.75,4.0,0.035,0.0821917808219178,0.4672216441207076,4.625,416,68,25,18,1984.0,516.0,-259.0
Entire home/apt,3,1.0,1.0,2.0,within an hour,t,3.0,3.0,34.05285,-118.18046,t,21,51,81,149,12,12,4,5.0,5.0,4.83,4.92,2.75,140.0,0.6666666666666666,3.0,0.2291666666666666,0.1409395973154362,1.0,4.9375,500,77,53,15,-268.0,-297.0,-419.0
Entire home/apt,8,1.0,3.0,3.0,,f,2.0,2.0,51.47005,-0.16076,t,17,31,55,212,5,4,0,4.4,4.0,4.4,4.6,0.41,499.0,0.375,2.6666666666666665,0.0819999999999999,0.080188679245283,1.0,4.35,513,85,36,18,92.0,22.0,-146.0
Entire home/apt,4,1.0,1.0,2.0,,f,1.0,1.0,55.95146933163674,-3.184158047359115,t,0,0,0,180,0,0,0,,,,,,246.0,0.5,4.0,,0.0,1.0,,493,78,42,12,2899.0,,
Private room,1,1.0,1.0,1.0,within a day,f,1.0,1.0,48.88678504504925,2.3481738749330403,,1,24,54,54,0,0,0,,,,,,60.0,1.0,1.0,,0.0185185185185185,1.0,,0,0,5,27,958.0,,
Entire home/apt,10,2.0,5.0,8.0,within an hour,f,3.0,4.0,38.70558,-9.39422,t,2,2,2,2,11,3,0,4.73,4.64,5.0,4.73,0.24,299.0,0.8,2.0,0.0218181818181818,1.0,0.75,4.775,500,87,38,11,3415.0,919.0,-274.0
Entire home/apt,4,1.0,1.0,1.0,within an hour,f,1.0,1.0,45.434338,12.348248,t,15,18,21,74,120,37,0,4.81,4.89,4.95,4.78,3.38,77.0,0.25,4.0,0.0281666666666666,0.2027027027027027,1.0,4.8575,212,31,40,12,959.0,638.0,-370.0
Entire home/apt,5,2.0,2.0,4.0,within an hour,t,8.0,8.0,35.9213869,14.4903171,t,0,0,25,148,40,13,1,4.8,4.75,4.8,4.85,1.33,120.0,0.8,2.5,0.03325,0.0,1.0,4.800000000000001,470,82,60,18,1491.0,544.0,-343.0
