property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_listings_count,host_total_listings_count,latitude,longitude,city,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,description_char_len,description_word_count,amenities_char_len,amenities_item_count,bathrooms_per_bedroom,accommodates_per_bedroom,beds_per_bedroom,availability_30_share,review_scores_avg_quality,reviews_activity_ratio
Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,5.0,7.0,37.80289,-122.41986,San Francisco,t,15,23,23,83,14,1,0,4.86,4.69,4.92,4.85,0.1,143.0,432,79,262,19,1.0,1.0,1.0,0.180722891566265,4.775,140.0
Entire vacation home,Entire home/apt,5,1.0,1.0,3.0,16.0,24.0,45.45137,9.14925,Milan,t,23,43,64,229,12,4,1,4.92,4.92,4.75,4.75,0.56,71.0,536,90,835,49,1.0,5.0,3.0,0.1004366812227074,4.92,21.428571428571427
Entire rental unit,Entire home/apt,8,2.0,2.0,4.0,2.0,2.0,25.9874119,-80.119025,Broward County,t,24,37,61,135,0,0,0,4.86,4.87,4.88,4.77,0.87,500.0,430,65,341,18,1.0,4.0,2.0,0.1777777777777777,4.855,27.85923753665689
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,6.0,9.0,38.70343,-9.39813,Lisbon,t,29,59,89,364,56,17,0,4.89,4.96,4.88,4.7,1.28,126.0,499,79,964,46,1.0,2.0,1.0,0.0796703296703296,4.925,43.75
Entire serviced apartment,Entire home/apt,2,1.0,0.0,1.0,1.0,2.0,51.4656,-2.61748,Bristol,t,15,32,51,132,408,79,5,4.95,4.94,4.95,4.88,6.89,94.0,217,38,600,34,1.0,2.0,1.0,0.1136363636363636,4.945,59.21625544267054
Entire condo,Entire home/apt,7,1.0,3.0,4.0,4.0,6.0,35.95813,14.36936,Malta,t,12,12,36,231,38,14,1,4.92,4.95,4.89,4.92,0.36,125.0,219,37,939,52,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.0519480519480519,4.9350000000000005,105.55555555555556
Entire rental unit,Entire home/apt,4,2.0,3.0,3.0,9.0,17.0,29.9626674,-90.0774187,New Orleans,t,30,60,90,269,1,0,0,5.0,5.0,5.0,5.0,0.08,150.0,147,25,1016,53,0.6666666666666666,1.3333333333333333,1.0,0.1115241635687732,5.0,12.5
Entire home,Entire home/apt,2,1.0,1.0,1.0,7.0,8.0,36.9567154028696,-121.97606677683662,Santa Cruz County,t,4,4,13,120,2,2,0,5.0,5.0,5.0,5.0,0.65,133.0,519,89,341,18,1.0,2.0,1.0,0.0333333333333333,5.0,3.0769230769230766
Entire villa,Entire home/apt,8,3.0,3.0,8.0,1.0,1.0,39.54209,2.44396,Mallorca,t,29,58,86,262,1,1,0,5.0,5.0,5.0,5.0,0.13,465.0,304,53,903,47,1.0,2.6666666666666665,2.6666666666666665,0.1106870229007633,5.0,7.692307692307692
Entire loft,Entire home/apt,3,1.0,1.0,1.0,31.0,38.0,34.008562447632634,-118.23003989357964,Los Angeles,t,29,59,89,269,11,7,0,5.0,4.91,4.55,5.0,0.6,173.0,498,81,1041,55,1.0,3.0,1.0,0.1078066914498141,4.955,18.333333333333336
Room in hotel,Private room,4,1.0,1.0,2.0,5.0,5.0,40.43898,18.18619,Puglia,missing,0,0,0,207,0,0,0,4.86,4.87,4.88,4.77,0.87,376.0,0,0,81,6,1.0,4.0,2.0,0.0,4.855,27.85923753665689
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,1.0,1.0,37.49677,13.1568,Sicily,t,28,58,88,363,5,0,0,4.6,4.4,4.8,4.2,0.08,50.0,210,37,168,12,0.5,3.0,1.5,0.0771349862258953,4.5,62.5
Entire villa,Entire home/apt,12,5.5,5.0,7.0,145.0,297.0,39.74397,3.13418,Mallorca,t,14,21,21,103,7,3,0,4.86,5.0,4.71,4.86,0.09,648.0,167,27,558,37,1.1,2.4,1.4,0.1359223300970873,4.93,77.77777777777779
Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,1.0,1.0,45.44904,9.20579,Milan,t,0,0,0,31,27,2,0,4.89,4.63,4.96,4.74,0.25,33.0,310,42,255,18,1.0,2.0,1.0,0.0,4.76,108.0
